win_id,archetype,roi_id,rater,method,n_manual,n_obj,n_obj_unkept,n_obj_in_excl,tp,tp_points,recall,precision,ghost_frac,density_obj_net,median_cost_um,frac_inside_mask
A1_w1,A1,r1,model:deepseek_flash_nothink,cellpose_rgb,147,154,2,0,66,66,0.4489795918367347,0.42857142857142855,0.5714285714285714,15423.785864831285,0.0,0.5151515151515151
A1_w1,A1,r1,model:deepseek_flash_nothink,stardist_he,147,86,0,0,40,40,0.272108843537415,0.46511627906976744,0.5348837209302326,8613.283015425262,0.8968554487366469,0.5
A1_w2,A1,r2,model:deepseek_flash_nothink,cellpose_rgb,58,92,0,0,12,12,0.20689655172413793,0.13043478260869565,0.8695652173913043,9214.209737431676,2.358675678380883,0.3333333333333333
A1_w2,A1,r2,model:deepseek_flash_nothink,stardist_he,58,38,0,0,5,5,0.08620689655172414,0.13157894736842105,0.868421052631579,3805.8692393739534,2.1774810140679968,0.4
A1_w3,A1,r3,model:deepseek_flash_nothink,cellpose_rgb,154,147,5,0,66,67,0.43506493506493504,0.4489795918367347,0.5510204081632653,14722.704689157135,0.0,0.6716417910447762
A1_w3,A1,r3,model:deepseek_flash_nothink,stardist_he,154,64,0,0,32,32,0.2077922077922078,0.5,0.5,6409.885034735079,0.0,0.71875
A1_w4,A1,r4,model:deepseek_flash_nothink,cellpose_rgb,58,99,1,0,8,8,0.13793103448275862,0.08080808080808081,0.9191919191919192,9915.290913105826,0.8360489909621206,0.5
A1_w4,A1,r4,model:deepseek_flash_nothink,stardist_he,58,38,0,0,4,4,0.06896551724137931,0.10526315789473684,0.8947368421052632,3805.8692393739534,0.0,0.75
A2_w1,A2,r2,model:deepseek_flash_nothink,cellpose_rgb,68,115,0,0,17,18,0.2647058823529412,0.14782608695652175,0.8521739130434782,8001.954001146961,0.0,0.8888888888888888
A2_w1,A2,r2,model:deepseek_flash_nothink,stardist_he,68,31,0,0,11,12,0.17647058823529413,0.3548387096774194,0.6451612903225806,2157.048469874398,0.0,1.0
A2_w1,A2,r2,model:deepseek_flash_nothink,spaceranger,68,86,0,0,16,17,0.25,0.18604651162790697,0.813953488372093,5984.069948683814,0.0,1.0
A2_w2,A2,r3,model:deepseek_flash_nothink,cellpose_rgb,69,129,1,0,28,28,0.4057971014492754,0.21705426356589147,0.7829457364341086,8976.104923025721,0.0,0.8571428571428571
A2_w2,A2,r3,model:deepseek_flash_nothink,stardist_he,69,88,0,0,22,22,0.3188405797101449,0.25,0.75,6123.2343660950655,0.0,0.8181818181818182
A2_w2,A2,r3,model:deepseek_flash_nothink,spaceranger,69,139,0,0,27,27,0.391304347826087,0.19424460431654678,0.8057553956834532,9671.927010081978,0.0,0.9629629629629629
A2_w3,A2,r4,model:deepseek_flash_nothink,cellpose_rgb,69,99,0,0,20,20,0.2898550724637681,0.20202020202020202,0.797979797979798,6888.638661856949,0.0,1.0
A2_w3,A2,r4,model:deepseek_flash_nothink,stardist_he,69,49,0,0,7,7,0.10144927536231885,0.14285714285714285,0.8571428571428572,3409.5282265756614,0.0,1.0
A2_w3,A2,r4,model:deepseek_flash_nothink,spaceranger,69,116,0,0,25,25,0.36231884057971014,0.21551724137931033,0.7844827586206897,8071.536209852587,0.0,0.88
A2_w4,A2,r5,model:deepseek_flash_nothink,cellpose_rgb,123,94,0,0,34,35,0.2845528455284553,0.3617021276595745,0.6382978723404256,6540.7276183288195,0.0,0.9428571428571428
