win_id,target,x_img_px,y_img_px,x_win_px,y_win_px,x_um,y_um
A5_w3,6,752.7772337872178,129.78649033142102,716.7772337872178,93.78649033142102,756.7919497520032,245.46657720463017
A5_w3,7,669.5111318398556,538.5643210869454,633.5111318398556,502.56432108694537,733.9750784743076,357.4813218292875
A5_w3,8,726.4341646713328,907.8069781887621,690.4341646713328,871.8069781887621,749.5733289324942,458.66249856615957
A5_w3,9,55.54477087852145,891.5259338862335,19.544770878521447,855.5259338862335,565.7338482586091,454.2011093161609
A5_w3,10,478.5811528215931,746.3263290882086,442.5811528215931,710.3263290882086,681.6557714282446,414.41300089308174
A5_w4,1,444.1495614340792,115.7507517069395,408.1495614340792,79.7507517069395,251.59458491472898,189.8300071644566
A5_w4,2,65.0539057017263,101.33318970341523,29.053905701726293,65.33318970341523,147.71345470105817,185.8792559141991
A5_w4,3,167.7680389729486,900.8777586974096,131.7680389729486,864.8777586974096,175.85954419532925,404.9732819927736
A5_w4,4,919.1742412059504,649.5538658478825,883.1742412059504,613.5538658478825,381.7625250320067,336.10462142088653
A5_w4,5,542.0686041789236,466.4932722668542,506.0686041789236,430.4932722668542,278.4267067709518,285.94171116002974
A5_w4,6,927.1698344569921,448.8072543232543,891.1698344569921,412.8072543232543,383.9535057280066,281.09532607178295
A5_w4,7,550.8702356133335,868.1939839591803,514.8702356133335,832.1939839591803,280.83856089617075,396.0171586288768
A5_w4,8,197.01206345263714,700.4471108515934,161.01206345263714,664.4471108515934,183.87309504723115,350.0505681266418
A5_w4,9,718.260967777714,631.172570937797,682.260967777714,595.172570937797,326.7075603995742,331.0677140831813
A5_w4,10,454.8914192112049,675.3809611998083,418.8914192112049,639.3809611998083,254.53810671353892,343.1818532876333
A6_w1,1,881.2952687942603,916.8064602773565,844.2952687942603,879.8064602773565,846.7057870699891,760.8689683704491
A6_w1,2,601.177965810143,381.1966962156656,564.177965810143,344.1966962156656,770.0064679950779,614.2128933769851
A6_w1,3,212.4025379511234,818.1493501849104,175.4025379511234,781.1493501849104,663.5553124535194,733.855524054879
A6_w1,4,500.09663729598583,693.1854204283758,463.09663729598583,656.1854204283758,742.3292449687557,699.638971849267
A6_w1,5,853.5534750463974,290.0045895531815,816.5534750463974,253.00458955318152,839.1097668751983,589.243452319587
A6_w1,6,585.8665239774598,896.3156092689946,548.8665239774598,859.3156092689946,765.8140202236937,755.258339170239
A6_w1,7,212.15733819871326,115.2006253719062,175.15733819871326,78.2006253719062,663.4881739588715,541.3801290565497
A6_w1,8,115.93086895378364,635.5009073503514,78.93086895378364,598.5009073503514,637.1402668876418,683.844292880424
