win_id,archetype,rater,method,n_points,n_obj,tp_obs,f1_obs,precision_obs,tp_null_mean,f1_null_mean,f1_null_sd,precision_null_mean,f1_gain
A3_w2,A3,model:deepseek_flash_nothink,spaceranger,42,53,3,0.06315789473684211,0.05660377358490566,4.9,0.10315789473684209,0.04044078465747062,0.09245283018867925,-0.03999999999999998
A3_w2,A3,model:deepseek_flash_think,cellpose_rgb,28,81,12,0.22018348623853212,0.14814814814814814,7.65,0.14036697247706426,0.04352725197899618,0.09444444444444444,0.07981651376146787
A3_w2,A3,model:deepseek_flash_think,stardist_he,28,44,5,0.1388888888888889,0.11363636363636363,3.05,0.08472222222222223,0.05377350189612761,0.06931818181818182,0.05416666666666667
A3_w2,A3,model:deepseek_flash_think,spaceranger,28,53,7,0.1728395061728395,0.1320754716981132,2.4,0.059259259259259255,0.029629629629629624,0.045283018867924525,0.11358024691358024
A3_w2,A3,model:gpt6_astra,cellpose_rgb,121,81,50,0.49504950495049505,0.6172839506172839,27.0,0.2673267326732674,0.03328264616628042,0.3333333333333333,0.22772277227722765
A3_w2,A3,model:gpt6_astra,stardist_he,121,44,28,0.3393939393939394,0.6363636363636364,9.4,0.11393939393939392,0.03542215562715747,0.21363636363636365,0.2254545454545455
A3_w2,A3,model:gpt6_astra,spaceranger,121,53,35,0.40229885057471265,0.660377358490566,11.95,0.13735632183908045,0.03399560096820748,0.22547169811320752,0.2649425287356322
A3_w3,A3,Luca,cellpose_rgb,78,85,61,0.7484662576687117,0.7176470588235294,9.1,0.11165644171779143,0.029778309446654223,0.10705882352941176,0.6368098159509202
A3_w3,A3,Luca,stardist_he,78,59,47,0.6861313868613139,0.7966101694915254,6.6,0.09635036496350366,0.031105512047682506,0.11186440677966102,0.5897810218978102
A3_w3,A3,Luca,spaceranger,78,76,60,0.7792207792207793,0.7894736842105263,9.35,0.12142857142857137,0.035155006970491336,0.12302631578947368,0.6577922077922079
A3_w3,A3,model:deepseek_flash_nothink,cellpose_rgb,93,85,10,0.11235955056179775,0.11764705882352941,11.25,0.1264044943820225,0.026796044983622067,0.1323529411764706,-0.014044943820224753
A3_w3,A3,model:deepseek_flash_nothink,stardist_he,93,59,8,0.10526315789473684,0.13559322033898305,7.9,0.10394736842105264,0.03110944846720234,0.13389830508474576,0.0013157894736842007
A3_w3,A3,model:deepseek_flash_nothink,spaceranger,93,76,10,0.11834319526627218,0.13157894736842105,9.8,0.11597633136094673,0.02554678478689101,0.12894736842105264,0.0023668639053254503
A3_w3,A3,model:deepseek_flash_think,cellpose_rgb,185,85,27,0.2,0.3176470588235294,20.65,0.15296296296296297,0.029282691039469576,0.24294117647058822,0.047037037037037044
A3_w3,A3,model:deepseek_flash_think,stardist_he,185,59,19,0.1557377049180328,0.3220338983050847,15.5,0.12704918032786888,0.026999457527869843,0.2627118644067797,0.02868852459016391
A3_w3,A3,model:deepseek_flash_think,spaceranger,185,76,24,0.1839080459770115,0.3157894736842105,18.45,0.14137931034482762,0.02692644418515571,0.24276315789473682,0.04252873563218387
A3_w3,A3,model:gpt6_astra,cellpose_rgb,170,85,65,0.5098039215686274,0.7647058823529411,19.1,0.14980392156862743,0.025036689724725284,0.2247058823529412,0.36
A3_w3,A3,model:gpt6_astra,stardist_he,170,59,44,0.38427947598253276,0.7457627118644068,15.6,0.13624454148471615,0.029410407406956746,0.26440677966101694,0.2480349344978166
A3_w3,A3,model:gpt6_astra,spaceranger,170,76,61,0.4959349593495935,0.8026315789473685,17.0,0.13821138211382117,0.021200658228301295,0.2236842105263158,0.3577235772357723
A3_w4,A3,Luca,cellpose_rgb,37,19,18,0.6428571428571429,0.9473684210526315,1.55,0.05535714285714286,0.026426158190979893,0.08157894736842106,0.5875
A3_w4,A3,Luca,stardist_he,37,11,11,0.4583333333333333,1.0,0.7,0.029166666666666664,0.0325427069829444,0.06363636363636363,0.42916666666666664
