win_id,archetype,rater_a,rater_b,n_a,n_b,rel_diff,tp_3um,f1_3um,tp_5um,f1_5um
A3_w2,A3,Luca,model:deepseek_flash_think,104,28,1.1515151515151516,5,0.07575757575757576,12,0.18181818181818182
A3_w2,A3,Luca,model:gpt6_astra,104,121,0.1511111111111111,29,0.2577777777777778,60,0.5333333333333333
A3_w2,A3,model:deepseek_flash_nothink,model:deepseek_flash_think,42,28,0.4,0,0.0,5,0.14285714285714285
A3_w2,A3,model:deepseek_flash_nothink,model:gpt6_astra,42,121,0.9693251533742331,4,0.049079754601226995,16,0.19631901840490798
A3_w2,A3,model:deepseek_flash_think,model:gpt6_astra,28,121,1.2483221476510067,6,0.08053691275167785,12,0.1610738255033557
A3_w3,A3,Luca,model:deepseek_flash_nothink,78,93,0.17543859649122806,11,0.1286549707602339,20,0.23391812865497075
A3_w3,A3,Luca,model:deepseek_flash_think,78,185,0.8136882129277566,20,0.1520912547528517,48,0.3650190114068441
A3_w3,A3,Luca,model:gpt6_astra,78,170,0.7419354838709677,56,0.45161290322580644,67,0.5403225806451613
A3_w3,A3,model:deepseek_flash_nothink,model:deepseek_flash_think,93,185,0.6618705035971223,28,0.2014388489208633,57,0.41007194244604317
A3_w3,A3,model:deepseek_flash_nothink,model:gpt6_astra,93,170,0.5855513307984791,20,0.1520912547528517,37,0.2813688212927757
A3_w3,A3,model:deepseek_flash_think,model:gpt6_astra,185,170,0.08450704225352113,40,0.22535211267605634,86,0.48450704225352115
A3_w4,A3,Luca,model:deepseek_flash_nothink,37,24,0.4262295081967213,7,0.22950819672131148,10,0.32786885245901637
