tp,n_a,n_b,precision_b_vs_a,recall_b_vs_a,f1_iou05,dice_binary,median_iou_matched,archetype,roi_id,method_a,method_b,density_a,density_b,delta_density_rel
3240,4175,4656,0.6958762886597938,0.7760479041916167,0.7337787340052089,0.7187346712636702,0.7654763497895326,A3,r1,cellpose_rgb,cellpose_hed,4178.945036129811,4667.575584171881,0.11692677070828343
1600,3147,1720,0.9302325581395349,0.5084207181442644,0.6574892130675981,0.5986648554873882,0.8485765220679595,A3,r2,cellpose_rgb,stardist_he,3152.604824485724,1734.6386110414091,-0.44977607165706973
2228,3147,3572,0.6237402015677491,0.7079758500158881,0.6631939276678077,0.6657135047777332,0.6536075617461596,A3,r2,cellpose_rgb,spaceranger,3152.604824485724,3573.1538365812285,0.1333973128598849
1575,1720,3572,0.4409294512877939,0.9156976744186046,0.5952380952380952,0.5740955383053441,0.67828418230563,A3,r2,stardist_he,spaceranger,1734.6386110414091,3573.1538365812285,1.0598837209302328
2426,3147,3829,0.6335857926351528,0.7708929138862408,0.6955275229357798,0.6656392617160075,0.727589254153411,A3,r2,cellpose_rgb,cellpose_hed,3152.604824485724,3857.5538879263895,0.2236084452975048
2491,4308,2720,0.9158088235294117,0.5782265552460538,0.7088787706317586,0.6360712591932647,0.8541666666666666,A3,r3,cellpose_rgb,stardist_he,4300.450100136305,2720.9174860132002,-0.36729471970225647
3011,4308,4287,0.702355959878703,0.6989322191272052,0.7006399069226295,0.6694287674052716,0.6713286713286714,A3,r3,cellpose_rgb,spaceranger,4300.450100136305,4274.441330049413,-0.00604791812049332
2443,2720,4287,0.569862374620947,0.8981617647058824,0.6973026973026973,0.6293171933278207,0.6894639556377079,A3,r3,stardist_he,spaceranger,2720.9174860132002,4274.441330049413,0.5709558823529411
3331,4308,4856,0.6859555189456342,0.7732126276694522,0.7269751200349193,0.6987429191646533,0.75,A3,r3,cellpose_rgb,cellpose_hed,4300.450100136305,4854.636970449287,0.12886717841358442
3187,4830,3433,0.9283425575298573,0.6598343685300208,0.771390536124894,0.727553499175743,0.847926267281106,A3,r4,cellpose_rgb,stardist_he,4833.918574293251,3440.058554218228,-0.2883499170812604
3730,4830,5035,0.7408142999006951,0.772256728778468,0.7562088190572732,0.7251384695581697,0.673469387755102,A3,r4,cellpose_rgb,spaceranger,4833.918574293251,5027.3153995085495,0.04000829187396354
3143,3433,5035,0.6242303872889772,0.9155257792018643,0.7423240434577232,0.6790869834086328,0.6954314720812182,A3,r4,stardist_he,spaceranger,3440.058554218228,5027.3153995085495,0.46140401980774837
3893,4830,5422,0.718000737735153,0.8060041407867495,0.759461568474444,0.7278406660468674,0.7431192660550459,A3,r4,cellpose_rgb,cellpose_hed,4833.918574293251,5431.144003455518,0.1235489220563846
2404,4885,2617,0.9186090943828812,0.49211873080859775,0.6408957611303653,0.6106343071266727,0.8506780123771387,A3,r5,cellpose_rgb,stardist_he,4925.13772494087,2639.04288005124,-0.4641687141687142
3274,4885,4583,0.7143792275801877,0.6702149437052201,0.6915927334178285,0.6788569689115321,0.6795895446191547,A3,r5,cellpose_rgb,spaceranger,4925.13772494087,4616.560299913862,-0.06265356265356266
2326,2617,4583,0.5075278202051058,0.8888039740160489,0.6461111111111111,0.6069085030994754,0.6957925887802368,A3,r5,stardist_he,spaceranger,2639.04288005124,4616.560299913862,0.7493312953763851
3525,4885,4783,0.7369851557599832,0.721596724667349,0.7292097641704592,0.6929358825415683,0.7630922693266833,A3,r5,cellpose_rgb,cellpose_hed,4925.13772494087,4822.2785832652,-0.020884520884521012
16619,19529,16934,0.9813983701429078,0.8509908341440934,0.9115541782080465,0.8549404753370515,0.875,A4,f1,cellpose_rgb,stardist_he,19603.485475353737,17092.10748953014,-0.1281087482621904
15961,19529,23820,0.6700671704450042,0.8172973526550259,0.7363953032365221,0.7170751908738071,0.6088328075709779,A4,f1,cellpose_rgb,spaceranger,19603.485475353737,23929.75800237944,0.22068894495649058
15906,16934,23820,0.6677581863979849,0.9392937285933625,0.7805859547529077,0.6774602538319572,0.6218583105223867,A4,f1,stardist_he,spaceranger,17092.10748953014,23929.75800237944,0.4000472450245085
15321,19529,23178,0.6610147553714729,0.7845255773465103,0.7174936193129932,0.7186124768351007,0.6827586206896552,A4,f1,cellpose_rgb,cellpose_hed,19603.485475353737,23358.4396985305,0.19154523453993103
18127,20501,18625,0.9732617449664429,0.8842007706941125,0.9265961253386495,0.8590323939141518,0.8465608465608465,A4,f2,cellpose_rgb,stardist_he,20472.520896096183,18677.301555283357,-0.08768921765541579
15754,20501,25089,0.6279245884650644,0.7684503194966099,0.6911164729107261,0.6943037853794749,0.5925925925925926,A4,f2,cellpose_rgb,spaceranger,20472.520896096183,25046.820009753883,0.22343604565717912
17666,18625,25089,0.7041332855036072,0.9485100671140939,0.8082536487166583,0.6962400161931481,0.6242424242424243,A4,f2,stardist_he,spaceranger,18677.301555283357,25046.820009753883,0.3410299092520002
14126,20501,24252,0.58246742536698,0.6890395590459002,0.6312872880030389,0.6753998308319407,0.6320444040534334,A4,f2,cellpose_rgb,cellpose_hed,20472.520896096183,24300.650630108776,0.18698868368196722
22238,25672,22616,0.9832861690838345,0.8662355874104082,0.9210569913850232,0.8731065241772562,0.8681818181818182,A4,p1,cellpose_rgb,stardist_he,25548.52755890767,22632.298591589835,-0.11414469818637636
19696,25672,31221,0.6308574357003299,0.7672172016204425,0.6923874641871584,0.6855505833128891,0.5896483033383706,A4,p1,cellpose_rgb,spaceranger,25548.52755890767,31093.76596244511,0.21704727956441686
21133,22616,31221,0.6768841484897985,0.9344269543685886,0.7850734624886231,0.6794200648408252,0.61328125,A4,p1,stardist_he,spaceranger,22632.298591589835,31093.76596244511,0.37386690249834187
12313,25672,29782,0.4134376469008126,0.47962760984730446,0.4440797778338803,0.6176199201827792,0.5925925925925926,A4,p1,cellpose_rgb,cellpose_hed,25548.52755890767,29791.770805794287,0.16608562810920902
20981,24378,21444,0.9784088789404962,0.8606530478300106,0.9157609881716207,0.8574095450957664,0.8425925925925926,A4,p2,cellpose_rgb,stardist_he,24366.593504025754,21543.54873836597,-0.11585717819741073
