archetype,roi_id,method,scale,um_per_px,n_keep,n_keep_native,density_rel,area_rel
A1,r3,stardist_he,2,0.5475225343063054,311,4442,0.07001350742908599,3.569230769230769
A1,r4,stardist_he,2,0.5475225343063054,220,3386,0.06497341996455995,4.009708737864078
A1,r5,stardist_he,2,0.5475225343063054,297,3966,0.07488653555219364,3.2884615384615383
A2,r1,stardist_he,2,0.5474025044878646,609,3872,0.15728305785123967,1.9299191374663072
A2,r2,stardist_he,2,0.5474025044878646,562,3667,0.15325879465503137,1.761658031088083
A2,r3,stardist_he,2,0.5474025044878646,671,3464,0.1937066974595843,1.777777777777778
A2,r4,stardist_he,2,0.5474025044878646,720,3822,0.18838304552590268,1.4050632911392404
A2,r5,stardist_he,2,0.5474025044878646,588,3428,0.17152858809801633,1.4385964912280702
A3,r1,stardist_he,2,0.5474025044878646,635,2539,0.2500984639621898,1.4930875576036866
A3,r2,stardist_he,2,0.5474025044878646,283,1720,0.16453488372093025,1.4323607427055702
A3,r3,stardist_he,2,0.5474025044878646,690,2720,0.25367647058823534,1.2114014251781473
A3,r4,stardist_he,2,0.5474025044878646,917,3433,0.2671133119720361,1.192488262910798
A3,r5,stardist_he,2,0.5474025044878646,501,2617,0.19144058081773022,1.2252252252252251
A4,f1,stardist_he,2,0.547550062525532,1302,16933,0.07689127738735015,1.9906103286384977
A4,f2,stardist_he,2,0.547550062525532,1003,18623,0.053858132416903834,1.945945945945946
A4,p1,stardist_he,2,0.547550062525532,236,22615,0.010435551625027637,1.9904306220095693
A4,p2,stardist_he,2,0.547550062525532,536,21444,0.024995336690915877,2.2336448598130842
A4,p3,stardist_he,2,0.547550062525532,315,23082,0.013646997660514687,2.0469483568075115
A5,r1,stardist_he,2,0.5480470622275472,911,1419,0.6420014094432699,1.7857142857142856
A5,r2,stardist_he,2,0.5480470622275472,715,985,0.7258883248730964,1.7360959651035988
A5,r3,stardist_he,2,0.5480470622275472,523,835,0.6263473053892216,2.3333333333333335
A5,r4,stardist_he,2,0.5480470622275472,530,748,0.7085561497326203,2.8337595907928383
A5,r5,stardist_he,2,0.5480470622275472,755,1182,0.6387478849407784,1.8423028785982478
A6,r1,stardist_he,2,0.5476228584084304,134,501,0.26746506986027946,1.9047619047619049
A6,r2,stardist_he,2,0.5476228584084304,177,719,0.24617524339360222,2.0125786163522013
A6,r3,stardist_he,2,0.5476228584084304,171,941,0.18172157279489903,2.1434599156118144
A6,r4,stardist_he,2,0.5476228584084304,243,1064,0.22838345864661655,1.8461538461538463
A6,r5,stardist_he,2,0.5476228584084304,263,888,0.2961711711711712,2.0841423948220066
A1,r1,stardist_he,4,1.0950450686126108,25,4656,0.0053694158075601375,13.319371727748692
A1,r2,stardist_he,4,1.0950450686126108,6,3712,0.0016163793103448276,23.95939086294416
A1,r3,stardist_he,4,1.0950450686126108,14,4442,0.003151733453399369,17.353846153846153
A1,r4,stardist_he,4,1.0950450686126108,14,3386,0.004134672179562906,15.495145631067961
A1,r5,stardist_he,4,1.0950450686126108,13,3966,0.0032778618255168935,15.384615384615385
A2,r1,stardist_he,4,1.0948050089757293,9,3872,0.0023243801652892563,7.547169811320754
A2,r2,stardist_he,4,1.0948050089757293,10,3667,0.002727024815925825,10.01036269430052
A2,r3,stardist_he,4,1.0948050089757293,6,3464,0.0017321016166281756,7.9810874704491725
A2,r4,stardist_he,4,1.0948050089757293,7,3822,0.0018315018315018315,5.063291139240507
A2,r5,stardist_he,4,1.0948050089757293,7,3428,0.002042007001166861,5.157894736842105
A3,r1,stardist_he,4,1.0948050089757293,27,2539,0.01063410791650256,5.7142857142857135
A3,r2,stardist_he,4,1.0948050089757293,7,1720,0.004069767441860465,9.464190981432361
A3,r3,stardist_he,4,1.0948050089757293,14,2720,0.0051470588235294126,5.30166270783848
A3,r4,stardist_he,4,1.0948050089757293,10,3433,0.0029129041654529565,5.23943661971831
A3,r5,stardist_he,4,1.0948050089757293,7,2617,0.0026748184944593045,8.684684684684685
A4,f1,stardist_he,4,1.095100125051064,0,16933,0.0,
A4,f2,stardist_he,4,1.095100125051064,1,18623,5.3697041293024756e-05,15.135135135135135
A4,p1,stardist_he,4,1.095100125051064,3,22615,0.00013265531726730048,21.358851674641148
A4,p2,stardist_he,4,1.095100125051064,2,21444,9.326618168252193e-05,9.383177570093457
A4,p3,stardist_he,4,1.095100125051064,1,23082,4.332380209687202e-05,18.704225352112676
