archetype,roi_id,method,scale,um_per_px,n_labels,n_keep,label_px_sum,tissue_frac,bubble_frac,seconds,seed,flow_threshold,cellprob_threshold
A4,f1,stardist_he,1,0.273775031262766,16934,16933,3979427,0.9904769105922937,0.0,5.6,0,0.6924782541382084,0.3
A4,f1,stardist_he,2,0.547550062525532,1302,1302,151003,0.9904926886676448,0.0,0.4,0,0.6924782541382084,0.3
A4,f1,stardist_he,4,1.095100125051064,5,0,5538,0.9904926886676448,0.0,0.1,0,0.6924782541382084,0.3
A4,f2,stardist_he,1,0.273775031262766,18625,18623,4369897,0.9968900833300298,0.0,6.3,0,0.6924782541382084,0.3
A4,f2,stardist_he,2,0.547550062525532,1004,1003,120836,0.9968928786939054,0.0,0.4,0,0.6924782541382084,0.3
A4,f2,stardist_he,4,1.095100125051064,11,1,12111,0.9968928786939054,0.0,0.1,0,0.6924782541382084,0.3
A4,p1,stardist_he,1,0.273775031262766,22616,22615,4805256,0.9990360007700604,0.0,6.9,0,0.6924782541382084,0.3
A4,p1,stardist_he,2,0.547550062525532,237,236,36074,0.9990354727683011,0.0,0.3,0,0.6924782541382084,0.3
A4,p1,stardist_he,4,1.095100125051064,13,3,10120,0.9990354727683011,0.0,0.1,0,0.6924782541382084,0.3
A4,p2,stardist_he,1,0.273775031262766,21446,21444,4760230,0.9951575225249766,0.0,6.4,0,0.6924782541382084,0.3
A4,p2,stardist_he,2,0.547550062525532,537,536,72629,0.9951797631629775,0.0,0.3,0,0.6924782541382084,0.3
A4,p2,stardist_he,4,1.095100125051064,13,2,11178,0.9951797631629775,0.0,0.1,0,0.6924782541382084,0.3
A4,p3,stardist_he,1,0.273775031262766,23083,23082,4999415,1.0,0.0,6.9,0,0.6924782541382084,0.3
A4,p3,stardist_he,2,0.547550062525532,319,315,51433,1.0,0.0,0.3,0,0.6924782541382084,0.3
A4,p3,stardist_he,4,1.095100125051064,15,1,12766,1.0,0.0,0.1,0,0.6924782541382084,0.3
A5,r1,stardist_he,1,0.2740235311137736,1437,1419,1151666,0.7460517494253373,0.0,3.0,0,0.6924782541382084,0.3
A5,r1,stardist_he,2,0.5480470622275472,920,911,288533,0.746073311018775,0.0,4.1,0,0.6924782541382084,0.3
A5,r1,stardist_he,4,1.0960941244550944,143,143,15146,0.746073311018775,0.0,2.1,0,0.6924782541382084,0.3
A5,r2,stardist_he,1,0.2740235311137736,985,985,941071,0.8401943763372404,0.0,2.8,0,0.6924782541382084,0.3
A5,r2,stardist_he,2,0.5480470622275472,715,715,268598,0.8402513273314867,0.0,0.4,0,0.6924782541382084,0.3
A5,r2,stardist_he,4,1.0960941244550944,200,200,24399,0.8402513273314867,0.0,0.1,0,0.6924782541382084,0.3
A5,r3,stardist_he,1,0.2740235311137736,839,835,750366,0.7805392498393378,0.0,2.9,0,0.6924782541382084,0.3
A5,r3,stardist_he,2,0.5480470622275472,526,523,204144,0.7806825176977532,0.0,0.4,0,0.6924782541382084,0.3
A5,r3,stardist_he,4,1.0960941244550944,133,132,17852,0.7806825176977532,0.0,0.1,0,0.6924782541382084,0.3
A5,r4,stardist_he,1,0.2740235311137736,750,748,682529,0.7481566369144559,0.0,3.6,0,0.6924782541382084,0.3
A5,r4,stardist_he,2,0.5480470622275472,532,530,215776,0.7483612746229609,0.0,0.4,0,0.6924782541382084,0.3
A5,r4,stardist_he,4,1.0960941244550944,190,190,27708,0.7483612746229609,0.0,0.1,0,0.6924782541382084,0.3
A5,r5,stardist_he,1,0.2740235311137736,1183,1182,1012041,0.8691916104007743,0.0,3.1,0,0.6924782541382084,0.3
A5,r5,stardist_he,2,0.5480470622275472,755,755,266829,0.8692229820714066,0.0,0.4,0,0.6924782541382084,0.3
A5,r5,stardist_he,4,1.0960941244550944,178,176,22162,0.8692229820714066,0.0,0.1,0,0.6924782541382084,0.3
A6,r1,stardist_he,1,0.2738114292042152,518,501,302920,0.9362956155999084,0.013842885232056375,3.1,0,0.6924782541382084,0.3
A6,r1,stardist_he,2,0.5476228584084304,141,134,32774,0.9362956155999084,0.013842885232056375,0.3,0,0.6924782541382084,0.3
A6,r1,stardist_he,4,1.0952457168168608,56,25,18813,0.9362956155999084,0.013842885232056375,0.1,0,0.6924782541382084,0.3
A6,r2,stardist_he,1,0.2738114292042152,736,719,297317,0.9145313705284146,0.016316585669572645,3.2,0,0.6924782541382084,0.3
A6,r2,stardist_he,2,0.5476228584084304,181,177,36069,0.9145313705284146,0.016316585669572645,0.3,0,0.6924782541382084,0.3
A6,r2,stardist_he,4,1.0952457168168608,55,41,13252,0.9145313705284146,0.016316585669572645,0.1,0,0.6924782541382084,0.3
A6,r3,stardist_he,1,0.2738114292042152,961,941,296547,0.9812385057505737,0.01522249507839183,3.0,0,0.6924782541382084,0.3
A6,r3,stardist_he,2,0.5476228584084304,175,171,33832,0.9812385057505737,0.01522249507839183,0.3,0,0.6924782541382084,0.3
A6,r3,stardist_he,4,1.0952457168168608,56,40,12659,0.9812385057505737,0.01522249507839183,0.1,0,0.6924782541382084,0.3
A6,r4,stardist_he,1,0.2738114292042152,1092,1064,355345,0.9486245289832036,0.01792533071647338,2.6,0,0.6924782541382084,0.3
A6,r4,stardist_he,2,0.5476228584084304,251,243,43500,0.9486245289832036,0.01792533071647338,0.4,0,0.6924782541382084,0.3
A6,r4,stardist_he,4,1.0952457168168608,49,30,11896,0.9486245289832036,0.01792533071647338,0.1,0,0.6924782541382084,0.3
A6,r5,stardist_he,1,0.2738114292042152,909,888,349841,0.9249924121458452,0.01744546642209583,3.6,0,0.6924782541382084,0.3
A6,r5,stardist_he,2,0.5476228584084304,266,263,55140,0.9249924121458452,0.01744546642209583,0.3,0,0.6924782541382084,0.3
A6,r5,stardist_he,4,1.0952457168168608,151,134,28765,0.9249924121458452,0.01744546642209583,0.1,0,0.6924782541382084,0.3
A1,r1,cellpose_hed,1,0.2737612671531527,10970,10818,2887009,0.7987228209207317,0.0010419344910666333,7.7,0,0.4,0.0
A1,r2,cellpose_hed,1,0.2737612671531527,8754,8658,2354631,0.6822033107648304,0.0,7.1,0,0.4,0.0
A1,r3,cellpose_hed,1,0.2737612671531527,10193,10107,2869991,0.810074166641625,0.0008189197438417843,7.5,0,0.4,0.0
A1,r4,cellpose_hed,1,0.2737612671531527,7940,7870,2265950,0.6388902648292629,0.0,7.2,0,0.4,0.0
A1,r5,cellpose_hed,1,0.2737612671531527,8710,8656,2533733,0.7231059089990423,0.0,7.1,0,0.4,0.0
A2,r1,cellpose_hed,1,0.2737012522439323,6402,6391,3026661,0.7443043276235055,0.0,7.3,0,0.4,0.0
A2,r2,cellpose_hed,1,0.2737012522439323,6087,6079,3012717,0.8613086138141345,0.0,7.4,0,0.4,0.0
A2,r3,cellpose_hed,1,0.2737012522439323,5490,5481,2844972,0.6846559648213009,0.0007717360075663683,7.2,0,0.4,0.0
A2,r4,cellpose_hed,1,0.2737012522439323,6370,6369,3617505,0.9708807467145047,0.0,7.8,0,0.4,0.0
A2,r5,cellpose_hed,1,0.2737012522439323,6177,6173,3584135,0.9750222368420658,0.0004697523524317024,7.7,0,0.4,0.0
A3,r1,cellpose_hed,1,0.2737012522439323,4656,4652,2943534,0.9964367127041948,0.0,7.3,0,0.4,0.0
A3,r2,cellpose_hed,1,0.2737012522439323,3829,3825,2231552,0.9923299746639308,0.0010940915759442456,7.0,0,0.4,0.0
A3,r3,cellpose_hed,1,0.2737012522439323,4856,4853,3043118,0.9994547517337846,0.0,7.5,0,0.4,0.0
A3,r4,cellpose_hed,1,0.2737012522439323,5422,5420,3257594,0.997742312673517,0.0,7.4,0,0.4,0.0
A3,r5,cellpose_hed,1,0.2737012522439323,4783,4782,2956284,0.9914366063508241,0.0,7.8,0,0.4,0.0
A4,f1,cellpose_hed,1,0.273775031262766,23178,23141,7694342,0.9904769105922937,0.0,8.8,0,0.4,0.0
A4,f2,cellpose_hed,1,0.273775031262766,24252,24230,8224276,0.9968900833300298,0.0,8.6,0,0.4,0.0
A4,p1,cellpose_hed,1,0.273775031262766,29782,29769,10557693,0.9990360007700604,0.0,9.2,0,0.4,0.0
A4,p2,cellpose_hed,1,0.273775031262766,28744,28729,10185653,0.9951575225249766,0.0,9.2,0,0.4,0.0
A4,p3,cellpose_hed,1,0.273775031262766,29851,29831,9821646,1.0,0.0,9.3,0,0.4,0.0
A5,r1,cellpose_hed,1,0.2740235311137736,1318,1230,1018057,0.7460517494253373,0.0,6.5,0,0.4,0.0
A5,r2,cellpose_hed,1,0.2740235311137736,713,713,855766,0.8401943763372404,0.0,6.5,0,0.4,0.0
A5,r3,cellpose_hed,1,0.2740235311137736,468,450,440576,0.7805392498393378,0.0,6.3,0,0.4,0.0
A5,r4,cellpose_hed,1,0.2740235311137736,474,469,575505,0.7481566369144559,0.0,6.4,0,0.4,0.0
A5,r5,cellpose_hed,1,0.2740235311137736,1100,955,854928,0.8691916104007743,0.0,6.5,0,0.4,0.0
A6,r1,cellpose_hed,1,0.2738114292042152,645,599,400317,0.9362956155999084,0.013842885232056375,6.4,0,0.4,0.0
A6,r2,cellpose_hed,1,0.2738114292042152,480,470,240011,0.9145313705284146,0.016316585669572645,6.4,0,0.4,0.0
A6,r3,cellpose_hed,1,0.2738114292042152,394,384,195738,0.9812385057505737,0.01522249507839183,6.3,0,0.4,0.0
A6,r4,cellpose_hed,1,0.2738114292042152,772,756,291267,0.9486245289832036,0.01792533071647338,6.3,0,0.4,0.0
A6,r5,cellpose_hed,1,0.2738114292042152,480,460,443176,0.9249924121458452,0.01744546642209583,6.5,0,0.4,0.0
A1,r1,cellpose_rgb_repro,1,0.2737612671531527,9064,8739,1631397,0.7987228209207317,0.0010419344910666333,7.3,0,0.4,0.0
A4,f2,cellpose_rgb_repro,1,0.273775031262766,20501,20413,4254439,0.9968900833300298,0.0,7.8,0,0.4,0.0
A1,r1,stardist_he_repro,1,0.2737612671531527,4658,4656,1014778,0.7987228209207317,0.0010419344910666333,10.6,0,0.6924782541382084,0.3
A4,f2,stardist_he_repro,1,0.273775031262766,18625,18623,4369897,0.9968900833300298,0.0,6.0,0,0.6924782541382084,0.3
