archetype,roi_id,method,other,cls,n,frac_of_method,od_in_median,od_ring_median,od_tissue_median,frac_nuclear_evidence,area_median
A4,f1,stardist_he,spaceranger,matched,15906,0.9392937285933625,0.0817410445793122,0.03702205020772935,0.042589512155279036,0.992078460958129,16.114845064729625
A4,f1,stardist_he,spaceranger,exclusive,1028,0.060706271406637535,0.08142116377665878,0.040388622374908555,0.042589512155279036,0.9873540856031129,13.191687122755413
A4,f1,spaceranger,stardist_he,matched,15906,0.6677581863979849,0.07029506041869474,0.03359463193105065,0.042589512155279036,0.9764239909468125,21.061727735762904
A4,f1,spaceranger,stardist_he,exclusive,7914,0.3322418136020151,0.055177481963206806,0.03144111983682075,0.042589512155279036,0.7554965883244883,15.740081226014983
A4,f2,cellpose_rgb,stardist_he,matched,18127,0.8842007706941125,0.09302555735088505,0.04300580280244656,0.04849704802101809,0.9945937000055166,14.39093140664227
A4,f2,cellpose_rgb,stardist_he,exclusive,2374,0.11579922930588751,0.08009780751375983,0.042582329424690576,0.04849704802101809,0.9330244313395114,10.643293019495845
A4,f2,stardist_he,cellpose_rgb,matched,18127,0.9732617449664429,0.08961315962117403,0.040653288760756814,0.04849704802101809,0.9932145418436586,16.639514438930124
A4,f2,stardist_he,cellpose_rgb,exclusive,498,0.02673825503355705,0.0776276629785013,0.0403965228117799,0.04849704802101809,0.9497991967871486,14.166073103413483
A4,f2,cellpose_rgb,spaceranger,matched,15754,0.7684503194966099,0.09175892897254626,0.041978715969908695,0.04849704802101809,0.9893360416402184,14.840648013099841
A4,f2,cellpose_rgb,spaceranger,exclusive,4747,0.2315496805033901,0.09297322895269985,0.046479862500326444,0.04849704802101809,0.9812513166210238,11.242915161439273
A4,f2,spaceranger,cellpose_rgb,matched,15754,0.6279245884650644,0.0773298125218681,0.0368962467687693,0.04849704802101809,0.9641360924209724,23.085452464821973
A4,f2,spaceranger,cellpose_rgb,exclusive,9335,0.3720754115349356,0.06619441142327649,0.03526619441552855,0.04849704802101809,0.7941081949651848,16.86437274215891
A4,f2,stardist_he,spaceranger,matched,17666,0.9485100671140939,0.08931888331192628,0.0404198442015668,0.04849704802101809,0.9920185667383675,16.714467206673053
A4,f2,stardist_he,spaceranger,exclusive,959,0.05148993288590604,0.0902843175846199,0.04615079038764431,0.04849704802101809,0.9927007299270073,13.641403729212984
A4,f2,spaceranger,stardist_he,matched,17666,0.7041332855036072,0.07709201505213804,0.036874550956470756,0.04849704802101809,0.9701686856107777,23.085452464821973
A4,f2,spaceranger,stardist_he,exclusive,7423,0.29586671449639285,0.06172083351988061,0.034849804265391825,0.04849704802101809,0.7359558130136064,15.215411851814483
A4,p1,cellpose_rgb,stardist_he,matched,22238,0.8662355874104082,0.09177436472759504,0.0456179704834939,0.05874081635988207,0.9841712384207213,14.166073103413483
A4,p1,cellpose_rgb,stardist_he,exclusive,3434,0.13376441258959176,0.08707135358054088,0.05150984314518184,0.05874081635988207,0.872743156668608,10.343481948524131
A4,p1,stardist_he,cellpose_rgb,matched,22238,0.9832861690838345,0.0895021539228526,0.04430217618815576,0.05874081635988207,0.9794495907905387,15.740081226014983
A4,p1,stardist_he,cellpose_rgb,exclusive,378,0.016713830916165545,0.08231039458424541,0.04763718619268405,0.05874081635988207,0.843915343915344,12.891876051783699
A4,p1,cellpose_rgb,spaceranger,matched,19696,0.7672172016204425,0.09032275293640735,0.044313443983833294,0.05874081635988207,0.9753249390739236,14.540836942128127
A4,p1,cellpose_rgb,spaceranger,exclusive,5976,0.23278279837955748,0.09552851019725236,0.05355927703322299,0.05874081635988207,0.9492971887550201,10.943104090467559
A4,p1,spaceranger,cellpose_rgb,matched,19696,0.6308574357003299,0.07713308859446452,0.040043557144096104,0.05874081635988207,0.887235987002437,20.537058361562405
A4,p1,spaceranger,cellpose_rgb,exclusive,11525,0.3691425642996701,0.07053108506962126,0.04114908147759267,0.05874081635988207,0.6213449023861172,15.740081226014983
A4,p1,stardist_he,spaceranger,matched,21133,0.9344269543685886,0.08918456843475024,0.043954192221314047,0.05874081635988207,0.9792741210429187,15.815033993757911
A4,p1,stardist_he,spaceranger,exclusive,1483,0.06557304563141139,0.09315935271540723,0.0523462025837674,0.05874081635988207,0.947403910991234,13.116734355012484
A4,p1,spaceranger,stardist_he,matched,21133,0.6768841484897985,0.07738304668172388,0.04028244619689592,0.05874081635988207,0.8982160601902238,21.061727735762904
A4,p1,spaceranger,stardist_he,exclusive,10088,0.32311585151020145,0.06811485949384088,0.04074312315636576,0.05874081635988207,0.5604678826328311,15.215411851814483
A4,p2,cellpose_rgb,stardist_he,matched,20981,0.8606177447803437,0.10065033853866419,0.05202685830400074,0.0627590628126412,0.981030456126972,13.79130926469884
A4,p2,cellpose_rgb,stardist_he,exclusive,3397,0.1393412363099389,0.09411375599022273,0.05542104237851481,0.0627590628126412,0.8793052693553135,9.968718109809489
A4,p2,stardist_he,cellpose_rgb,matched,20981,0.978317634990208,0.09699445956287746,0.04952086686538439,0.0627590628126412,0.975215671321672,16.039892296986697
A4,p2,stardist_he,cellpose_rgb,exclusive,463,0.02158910752587895,0.0862729103294618,0.04945706584075552,0.0627590628126412,0.8855291576673866,15.215411851814483
A4,p2,cellpose_rgb,spaceranger,matched,17791,0.7297674227819024,0.09951736898826893,0.050983448608539955,0.0627590628126412,0.9682985779326626,14.241025871156411
A4,p2,cellpose_rgb,spaceranger,exclusive,6587,0.27019155830838015,0.10102315609350827,0.05612913151085857,0.0627590628126412,0.9629573402155761,10.86815132272463
A4,p2,spaceranger,cellpose_rgb,matched,17791,0.5983386022734917,0.0853907972819268,0.04538470629886524,0.0627590628126412,0.9016918666741611,20.537058361562405
A4,p2,spaceranger,cellpose_rgb,exclusive,11939,0.40152687159480727,0.07641701118365497,0.04402464087568444,0.0627590628126412,0.6933579026719155,16.86437274215891
A4,p2,stardist_he,spaceranger,matched,20110,0.9377040007460599,0.09670758176743624,0.04908197515537238,0.0627590628126412,0.9746892093485828,16.114845064729625
A4,p2,stardist_he,spaceranger,exclusive,1334,0.06220274177002705,0.09877600639415868,0.056271903092152534,0.0627590628126412,0.952023988005997,13.416545425984198
A4,p2,spaceranger,stardist_he,matched,20110,0.6763301271271944,0.0846972032160833,0.04506419745274901,0.0627590628126412,0.9154152163102934,21.061727735762904
A4,p2,spaceranger,stardist_he,exclusive,9620,0.32353534674110446,0.07374506388416151,0.044368090700240004,0.0627590628126412,0.6144490644490644,15.215411851814483
