archetype,roi_id,method,scale,um_per_px,n_all,n_keep,frac_small,frac_large,frac_out_tissue,frac_bubble,tissue_frac,bubble_frac,tissue_mm2,density_per_mm2,area_median,area_q25,area_q75,area_mean,area_cv,eq_diam_median,ecc_median,ecc_q75,major_minor_median,nn_median_um,nuclear_area_fraction
A1,r4,cellpose_rgb,2,0.5475225343063054,5518,5518,0.0,0.0,0.0,0.0,0.6388109442649619,0.0,0.6388747105726207,8637.061240151828,15.588608129806367,10.792113320635178,22.48356941798995,17.72667959155578,0.5406658705359138,4.455113053363463,0.7933071332147279,0.8790562956383847,1.64251716825214,5.135990542918309,0.15310641721681686
A1,r5,cellpose_rgb,2,0.5475225343063054,6392,6389,0.0,0.0,0.00046933667083854817,0.0,0.7230763140183956,0.0,0.7231484917215399,8834.976596286933,15.888389055379566,11.091894246208376,22.78335034356315,18.06601196285369,0.533223768144456,4.49774668555785,0.8026748920839187,0.8857865378603779,1.67667975530347,5.150353690801994,0.1596127928800521
A2,r1,cellpose_rgb,2,0.5474025044878646,5675,5675,0.0,0.0,0.0,0.0,0.7442095375427829,0.0,0.744364900432271,7623.948948565936,30.56424919579784,19.77686712669272,47.344621303294694,37.458511013619606,0.6914988745420342,6.2382377905326525,0.7957570661230796,0.88498184339025,1.6512114360958758,6.58061374935753,0.2855817756571308
A2,r2,cellpose_rgb,2,0.5474025044878646,5837,5837,0.0,0.0,0.0,0.0,0.8614607788917295,0.0,0.8616406194192121,6774.286017219596,32.36214620731536,21.874413640129827,47.64427080521428,37.9710900021127,0.619308494809102,6.419093729153282,0.7925019337915643,0.8829725573207989,1.6396953186386325,6.871674078077615,0.2572270240598989
A2,r3,cellpose_rgb,2,0.5474025044878646,4873,4872,0.0,0.0,0.00020521239482864764,0.00020521239482864764,0.6844808288216092,0.0,0.6846237226089101,7116.317824094915,34.75934222267205,22.773362145888587,51.539714330168906,40.543155751205724,0.6102877447119313,6.652591154346454,0.7973240087118834,0.888288446030091,1.6568594936752263,6.685418490144832,0.2885179819173615
A2,r4,cellpose_rgb,2,0.5474025044878646,6533,6533,0.0,0.0,0.0,0.0,0.9708722373312827,0.0,0.9710749188457035,6727.596268025994,35.65829072843081,25.769857165084453,50.341116322490564,41.04835826525619,0.5498858080201896,6.738066922575148,0.7432079465712732,0.844894794695359,1.494633153555005,6.357497278102579,0.27615678187393156
A2,r5,cellpose_rgb,2,0.5474025044878646,5866,5865,0.0,0.0,0.0,0.00017047391749062393,0.9750422580494236,0.0002819202729468106,0.9749638309796617,6015.607772963987,35.05899172459164,24.571259157406107,50.041466820570975,40.46596645402896,0.5722048180098802,6.681204581682326,0.750231146084455,0.8512391422204617,1.512457415113644,6.872150388375991,0.24342738234135658
A3,r1,cellpose_rgb,2,0.5474025044878646,3854,3854,0.0,0.0,0.0,0.0,0.9964550025252858,0.0,0.9966630247564284,3866.9037621234797,36.55723923418957,24.870908659325693,52.738312337847255,41.66325430685774,0.5676527824436959,6.822471886297075,0.8164406049271231,0.9001725252746196,1.7318134078868315,8.459508233040197,0.16110779482149545
A3,r2,cellpose_rgb,2,0.5474025044878646,2844,2843,0.0,0.0,0.0,0.00035161744022503517,0.9923629597549813,0.001008914678928799,0.9915610024196218,2867.19626232019,30.56424919579784,20.67581563245148,45.546724291777174,36.421696054636776,0.6387546319047938,6.2382377905326525,0.8715156673095489,0.9337775828540501,2.0392861974354823,9.318955335257948,0.10442815079521656
A3,r3,cellpose_rgb,2,0.5474025044878646,3994,3994,0.0,0.0,0.0,0.0,0.9994541543651455,0.0,0.9996628027061031,3995.347220270854,34.459692720752464,23.672310651647347,51.539714330168906,41.949129670833756,0.6503023223515865,6.6238541251664405,0.8196020948695956,0.9045904986727473,1.7454044229285954,8.48387115880596,0.16760133862314724
A3,r4,cellpose_rgb,2,0.5474025044878646,4671,4671,0.0,0.0,0.0,0.0,0.9977398391734817,0.0,0.9979481296300691,4680.603992645891,31.163548199637013,22.174063142049413,43.449177778340065,34.99888220129927,0.5345234225620872,6.299100088269604,0.7702737912441432,0.8720285636650036,1.568102717602596,7.468993819225781,0.16381590776954458
A3,r5,cellpose_rgb,2,0.5474025044878646,4366,4366,0.0,0.0,0.0,0.0,0.9914404206490405,0.0,0.9916473960245724,4402.774632901686,34.16004321883288,25.470207663164867,48.243569809053454,39.76841671834295,0.5492851726720238,6.594991878393806,0.7620806945197108,0.8682541749074117,1.5444444286421446,6.856818741113267,0.17509137631818364
A4,f1,cellpose_rgb,2,0.547550062525532,18358,18358,0.0,0.0,0.0,0.0,0.9904926886676448,0.0,0.9906911719559685,18530.49721211801,13.491498193727127,11.39282069692513,16.78941997441598,15.680259461499816,0.5380403399254096,4.144624110577025,0.6271734503991788,0.7287010178192267,1.2838954490834285,5.133043657640526,0.2905630042366094
A4,f2,cellpose_rgb,2,0.547550062525532,19469,19469,0.0,0.0,0.0,0.0,0.9968928786939054,0.0,0.9970926445063475,19525.76834987981,13.79130926469884,11.39282069692513,16.189797832472554,14.781953170169608,0.48216477200764846,4.190422452389137,0.6218251499759976,0.7237461603094208,1.2768846404928396,5.1073679887720225,0.28862899335950326
A4,p1,cellpose_rgb,2,0.547550062525532,21055,21055,0.0,0.0,0.0,0.0,0.9990354727683011,0.0,0.999235667931835,21071.10532150891,12.891876051783699,10.493387484009988,14.690742477613984,12.876369319117437,0.31709100311776633,4.051474595126474,0.6099942813304187,0.7081499784854961,1.2619796324000607,4.962457600310139,0.2713193340817695
A4,p2,cellpose_rgb,2,0.547550062525532,23302,23301,0.0,0.0,4.291477126426916e-05,0.0,0.9951797631629775,0.0,0.9953791856868646,23409.16942513829,12.891876051783699,10.493387484009988,14.990553548585698,13.405405928336297,0.4217418790629297,4.051474595126474,0.6200648403519347,0.7193614131118353,1.2746150991145653,4.869666422845847,0.31380941858917766
A4,p3,cellpose_rgb,2,0.547550062525532,24165,24165,0.0,0.0,0.0,0.0,1.0,0.0,1.0002003884436448,24160.158583423257,12.891876051783699,10.793198554981702,14.990553548585698,12.964617301901935,0.3094240465266714,4.051474595126474,0.6123161499448208,0.7111721615181128,1.26484131503438,4.912910355989416,0.3132272099873437
A5,r1,cellpose_rgb,2,0.5480470622275472,1154,1143,0.0,0.0,0.009532062391681109,0.0,0.746073311018775,0.0,0.7459418065225408,1532.291111726905,94.01129729628468,49.859026681096665,121.64401087857922,88.78122104358955,0.5083097608840668,10.940699308978541,0.6074168316350733,0.7116920018087662,1.2588381798462802,15.524555647308054,0.13603867589335394
A5,r2,cellpose_rgb,2,0.5480470622275472,728,728,0.0,0.0,0.0,0.0,0.8402513273314867,0.0,0.8401032228143046,866.5601800231592,118.18992168079241,85.60134098862983,143.26961281254887,114.69540000075723,0.38247222805744596,12.267192887218666,0.5230524923244306,0.6245817258891059,1.1732956313417904,18.753580426429984,0.09939046647248444
A5,r3,cellpose_rgb,2,0.5480470622275472,628,623,0.0,0.0,0.007961783439490446,0.0,0.7806825176977532,0.0,0.7805449129078585,798.1603488760982,122.24472204341171,88.15436343916791,149.87743562570625,119.45956281448933,0.3994839578162326,12.475849239263436,0.5394451930992817,0.6368384592205383,1.1876192387943139,18.30506982192278,0.09534788633259897
A5,r4,cellpose_rgb,2,0.5480470622275472,499,498,0.0,0.0,0.002004008016032064,0.0,0.7483612746229609,0.0,0.7482293668453108,665.571310171466,136.9621455818077,90.33194141168568,173.75570442779775,133.50323139474514,0.44982958793556693,13.205514752804296,0.5718514325109736,0.69354895026538,1.218981230258683,19.541666366465968,0.08885592063152492
A5,r5,cellpose_rgb,2,0.5480470622275472,887,887,0.0,0.0,0.0,0.0,0.8692229820714066,0.0,0.869069770947668,1020.6315184945164,103.32232035118828,74.788540021645,129.4532560214016,102.35522278255152,0.40708341731979214,11.469702006805914,0.5243869114096656,0.6271303790517591,1.1744255626813154,17.01556414316206,0.10446696645440008
