archetype,method,scale,n_roi,n_nuclei,density_median,density_min,density_max,area_median,area_min,area_max,eq_diam_median,ecc_median,nn_median_um,nuclear_area_fraction,frac_small,frac_large
A3,cellpose_rgb,4,5,8493,1780.9429625763303,937.9150629468085,2298.7166686212104,50.341116322490564,47.943920307133865,57.532704368560644,8.00601648936022,0.8011690108598402,12.132235120165523,0.1157404940201959,0.0,0.0002001000500250125
A3,spaceranger,1,5,22589,4616.560299913862,3573.1538365812285,5195.336709983233,31.4631977015566,25.245470536725175,31.987584329915876,6.329311772810875,0.7639855586497402,6.813113359114871,0.1561663295040808,0.0034451096323309047,0.0
A3,stardist_he,1,5,13029,2639.04288005124,1734.6386110414091,3440.058554218228,31.91267195443598,28.241965555921045,33.26109471307412,6.374360823686455,0.7604068309673349,9.049027586620838,0.09481998485064179,0.0,0.0
A3,stardist_he,2,5,3026,637.1260739357575,285.4085621655342,918.885433794965,40.4526827591442,38.055486743787505,48.54321931097304,7.176764966164681,0.666587492401907,16.23967958642941,0.0346262874036551,0.0,0.0036315524818165803
A3,stardist_he,4,5,65,10.020560891984351,7.058960703232205,27.090399994118826,185.78269119014374,167.20442207112936,288.8621198504816,15.380047761649244,0.6930370763046605,42.58881896303845,0.0020502135715865064,0.0,0.46325252525252525
A4,cellpose_hed,1,5,135700,28862.36764150886,23358.4396985305,29825.023409977206,23.984885677737115,22.485830322878545,26.083563174539112,5.526165480769367,0.6141424766546248,4.767524622166016,0.7359503144725255,0.0008124501826762911,0.0
A4,cellpose_rgb,1,5,114773,24366.593504025754,19603.485475353737,25548.52755890767,13.86626203244177,13.491498193727127,14.615789709871056,4.201794040331419,0.6080598558275456,4.856650001412659,0.342498719875867,0.005336334631790612,0.0
A4,cellpose_rgb,2,5,106348,21071.10532150891,18530.49721211801,24160.158583423257,12.891876051783699,12.891876051783699,13.79130926469884,4.051474595126474,0.6200648403519347,4.962457600310139,0.2905630042366094,0.0,0.0
A4,cellpose_rgb,4,5,1830,177.82168096860553,1.9995993034076769,876.5484379164288,27.58261852939768,21.586397109963404,28.78186281328454,5.926152264241442,0.6447777925721943,9.185164687410936,0.0054397238957863085,0.0,0.0
A4,cellpose_rgb_repro,1,1,20413,20472.520896096183,20472.520896096183,20472.520896096183,14.166073103413483,14.166073103413483,14.166073103413483,4.246975920449187,0.616403342865466,5.0346015058376175,0.3195456031576922,0.004292473537876201,0.0
